station_id,city,province
STN_丰城东,宜春市,江西省
STN_丰城南,宜春市,江西省
STN_丰宁,承德市,河北省
STN_丰广,吉林市,吉林省
STN_丰库,通辽市,内蒙古自治区
STN_丰水村,兰州市,甘肃省
STN_丰润西,唐山市,河北省
STN_丰都,重庆市,重庆市
STN_丰镇,乌兰察布市,内蒙古自治区
STN_丰镇北,乌兰察布市,内蒙古自治区
STN_丰顺,梅州市,广东省
STN_丰顺东,梅州市,广东省
STN_串子沟,葫芦岛市,辽宁省
STN_临县,吕梁市,山西省
STN_临城,邢台市,河北省
STN_临川,抚州市,江西省
STN_临巴溪,达州市,四川省
STN_临平南,杭州市,浙江省
STN_临汝镇,平顶山市,河南省
STN_临江,白山市,吉林省
STN_临江场,重庆市,重庆市
STN_临江寺,资阳市,四川省
STN_临江溪,昭通市,云南省
STN_临汾,临汾市,山西省
STN_临汾西,临汾市,山西省
STN_临沂,临沂市,山东省
STN_临沂东,临沂市,山东省
STN_临沂北,临沂市,山东省
STN_临沂南,临沂市,山东省
STN_临沧,临沧市,云南省
STN_临河,巴彦淖尔市,内蒙古自治区
STN_临泉,阜阳市,安徽省
STN_临泽,张掖市,甘肃省
STN_临泽南,张掖市,甘肃省
STN_临海,台州市,浙江省
STN_临海东,台州市,浙江省
STN_临海南,台州市,浙江省
STN_临淄,淄博市,山东省
STN_临淄北,淄博市,山东省
STN_临清,聊城市,山东省
STN_临湘,岳阳市,湖南省
STN_临潼,西安市,陕西省
STN_临潼东,西安市,陕西省
STN_临澧西,常德市,湖南省
STN_临西,邢台市,河北省
STN_临邑,德州市,山东省
STN_临颍,漯河市,河南省
STN_临高南,临高县,海南省
STN_丹东,丹东市,辽宁省
STN_丹东西,丹东市,辽宁省
STN_丹凤,商洛市,陕西省
STN_丹徒,镇江市,江苏省
STN_丹水池,武汉市,湖北省
STN_丹江口,十堰市,湖北省
STN_丹阳,镇江市,江苏省
STN_丹阳北,镇江市,江苏省
STN_丹霞山,韶关市,广东省
STN_丽水,丽水市,浙江省
STN_丽江,丽江市,云南省
STN_乃托,凉山彝族自治州,四川省
STN_乃林,赤峰市,内蒙古自治区
STN_么荒,阜新市,辽宁省
STN_么铺,安顺市,贵州省
STN_义乌,金华市,浙江省
STN_义井,邯郸市,河北省
STN_义县,锦州市,辽宁省
STN_义县西,锦州市,辽宁省
STN_义合镇,榆林市,陕西省
STN_义马,三门峡市,河南省
STN_乌丹,赤峰市,内蒙古自治区
STN_乌伊岭,伊春市,黑龙江省
STN_乌兰,海西蒙古族藏族自治州,青海省
STN_乌兰哈达,乌兰察布市,内蒙古自治区
STN_乌兰察布,乌兰察布市,内蒙古自治区
STN_乌兰木伦,鄂尔多斯市,内蒙古自治区
STN_乌兰木图,阜新市,辽宁省
STN_乌兰浩特,兴安盟,内蒙古自治区
STN_乌兰胡同,包头市,内蒙古自治区
STN_乌兰花,锡林郭勒盟,内蒙古自治区
STN_乌兰陶勒盖,鄂尔多斯市,内蒙古自治区
STN_乌北,乌鲁木齐市,新疆维吾尔自治区
STN_乌固诺尔,呼伦贝尔市,内蒙古自治区
STN_乌图美仁,海西蒙古族藏族自治州,青海省
STN_乌奴耳,呼伦贝尔市,内蒙古自治区
STN_乌审旗,鄂尔多斯市,内蒙古自治区
STN_乌尔旗汗,呼伦贝尔市,内蒙古自治区
STN_乌山,长沙市,湖南省
STN_乌拉山,巴彦淖尔市,内蒙古自治区
STN_乌拉山西,巴彦淖尔市,内蒙古自治区
STN_乌拉特前旗,巴彦淖尔市,内蒙古自治区
STN_乌斯土,通辽市,内蒙古自治区
STN_乌日图,锡林郭勒盟,内蒙古自治区
STN_乌日根塔拉,锡林郭勒盟,内蒙古自治区
STN_乌江寨,遵义市,贵州省
STN_乌海,乌海市,内蒙古自治区
STN_乌海东,乌海市,内蒙古自治区
STN_乌海北,乌海市,内蒙古自治区
STN_乌海南,乌海市,内蒙古自治区
STN_乌海西,乌海市,内蒙古自治区
STN_乌苏,塔城地区,新疆维吾尔自治区
STN_乌西,乌鲁木齐市,新疆维吾尔自治区
STN_乌鲁布铁,呼伦贝尔市,内蒙古自治区
